pdf_filename,nanomaterial_types,nanomaterial_names,primary_nanomaterial,primary_nano_type,particle_size_nm,particle_size_range,zeta_potential_mV,pzc_value,tumor_types,primary_tumor_type,injection_methods,primary_injection_method,injection_dose_mg_kg,injection_frequency,ultrasound_frequency_MHz,ultrasound_power_W_cm2,treatment_time_min,treatment_sessions,ros_generation,cell_viability_percent,cell_death_percent,tumor_volume_mm3,has_size_data,has_zeta_data,has_ultrasound_data,has_ros_data,has_viability_data,has_volume_data,data_completeness_score,correction_notes,corrected_primary_nanomaterial,corrected_primary_nano_type,corrected_particle_size_nm,corrected_zeta_potential_mV,corrected_pzc_value,corrected_primary_tumor_type,corrected_primary_injection_method,corrected_injection_dose_mg_kg,corrected_injection_frequency,corrected_ultrasound_frequency_MHz,corrected_ultrasound_power_W_cm2,corrected_treatment_time_min,corrected_treatment_sessions,corrected_ros_generation,corrected_cell_viability_percent,corrected_cell_death_percent,corrected_tumor_volume_mm3
Enhanced Cisplatin Chemotherapy by Iron Oxide Nanocarrier Mediated Generation of Highly Toxic Reactive Oxygen Species.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,25.83333333333333,2.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Phage-augmented casein nanocarriers for targeted bioimaging and enhanced combinatorial therapy of triple-negative breast cancer..pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,5.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Oxygen-Independent Synchronized ROS Generation and Hypoxia Prodrug Activation with Z-Scheme Heterostructure Sonosensitizer.pdf,nanocrystal,Ag2S,Ag2S,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,8.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Engineering oxygen-deficient ZrO2-x nanoplatform as therapy-activated “immunogenic cell death (ICD)” inducer to synergize photothermal-augmented sonodynamic tumor elimination in NIR-II biological window.pdf,"nanoparticle, nanocrystal",ZrO2,ZrO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,5.0,,1.0,0.8529411764705882,11.272727272727272,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Biodegradable Hollow MoSe2 Fe3O4 Nanospheres as the Photodynamic Therapy-Enhanced Agent for Multimode CT MR IR Imaging and Synergistic Antitumor Therapy.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,9.285714285714286,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
"NaCeF4:Gd,Tb Scintillator as an X-ray Responsive Photosensitizer for Multimodal Imaging-Guided Synchronous Radio Radiodynamic Therapy.pdf","nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,2.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
A nanodrug combining CD47 and sonodynamic therapy efficiently inhibits osteosarcoma deterioration.pdf,nanocrystal,,,nanocrystal,,,,,sarcoma,sarcoma,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,3.5,3.0,1.0,1.75,13.105263157894736,413.5,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Multifunctional tumor-targeted PLGA nanoparticles delivering Pt(IV) siBIRC5 for US MRI imaging and overcoming ovarian cancer resistance.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,ovarian_cancer,ovarian_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,67.53333333333333,2.0,14.709677419354838,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Ultrasmall Ternary FePtMn Nanocrystalswith Acidity-Triggered Dual-Ions Release and Hypoxia Relief for Multimodal SynergisticChemodynamic Photodynamic PhotothermalCancer Therapy.pdf,"nanoparticle, nanocrystal","CuO, CuS, AuS, AlN",CuO,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,8.4,,2.0,,,,no,no,yes,yes,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Two-Dimensional MXene-Originated In Situ Nanosonosensitizer Generation for Augmented and Synergistic Sonodynamic Tumor Nanotherapy.pdf,nanocrystal,CuO,CuO,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,2.2222222222222223,,10.666666666666666,,2.0,,,,no,no,yes,yes,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Bright Aggregation-Induced Emission Nanoparticles for Two-Photon Imaging and Localized Compound Therapy of Cancers.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,,11.266666666666667,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
A multimodal imaging nanobubble enhancing sonodynamic therapy by cell membrane disruption for effective anti-melanoma.pdf,nanocrystal,,,nanocrystal,,,,,melanoma,melanoma,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,2.0,,7.666666666666667,2.0,42.6,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Ultrasound-activated nanovesicles for adenosine exhaustion and immune checkpoint blockade in cancer immunotherapy.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,7.0,2.0,1.0,2.0,7.783783783783784,1.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Catalase enzyme-modified carbon quantum dot nanoparticles with hypoxia alleviation associated with indocyanine green for synchronous augmented photodynamic therapy and cell imaging of melanoma..pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,11.153846153846152,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Smart Nanoassembly Enabling Activatable NIR Fluorescence and ROS Generation with Enhanced Tumor Penetration for Imaging-Guided Photodynamic Therapy.pdf,"nanoparticle, nanocrystal","CuS, AuS",CuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,13.333333333333334,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Bimetallic Cu@Ru Core−Shell Structures with Ligand Effects for Endo−Exogenous Stimulation-Mediated Dynamic Oncotherapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,100.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Diradicaloid-Loaded Polypeptide Nanoparticles for Two-photon NIR Phototheranostics.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,2.75,,665784749.5555556,,20.045454545454547,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Imaging-guided companion diagnostics in radiotherapy by monitoring APE1 activity with afterglow and MRI imaging.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,60.0,,27.424242424242426,1.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Development of an ultrasound triggered nanomedicine-microbubble complex for chemo-photodynamic-gene therapy.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,3.55,,1.0,,16.166666666666668,,,3.75,96.25,,no,no,yes,no,yes,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Ultrasound-Responsive Lipid Nanosonosensitizers with SizeReduction and NO Release: SynergisticSonodynamic-Chemo-Immunotherapy for Pancreatic Tumors.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,pancreatic_cancer,pancreatic_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,0.9,4.809523809523809,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
An AND Logic Gate for Magnetic-Resonance-Imaging-Guided Ferroptosis Therapy of Tumors.pdf,"nanoparticle, nanocrystal","Fe3O4, Fe2O3, AuS",Fe3O4,nanoparticle,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,20.0,3.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
NIR-II Imaging-Guided Mitochondrial-Targeting Organic Nanoparticles for Multimodal Synergistic Tumor Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,12.608695652173912,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Electron acceptor motif-manipulated NIR-II AIE photosensitizers synergically induce tumor pyroptosis through multimodal image-guided pure type I photodynamic and photothermal therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,10.6,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Living Microalgae-Based Magnetic Microrobots for CalciumOverload and Photodynamic Synergetic Cancer Therapy.pdf,"nanoparticle, nanocrystal","Fe3O4, CuS",Fe3O4,nanoparticle,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,2.142857142857143,,19.33333333333333,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
"Plasmon-enhanced fluorescent gold coated novel lipo-polymeric hybrid  nanosystem: Synthesis, characterization and application for imaging and  photothermal therapy of breast cancer.pdf","nanoparticle, nanocrystal",,,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,14.73913043478261,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Intelligent Hollow Pt-CuS Janus Architecture for Synergistic Catalysis-Enhanced Sonodynamic and Photothermal Cancer Therapy.pdf,"nanoparticle, nanocrystal",CuS,CuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,1.0,,5.8,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Molecularly manipulating pyrazinoquinoxaline derivatives to construct  NIR-II AIEgens for multimodal phototheranostics of breast cancer bone metastases.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,800.0,800.0,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,9.555555555555555,,,,,,yes,no,yes,no,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
muhammad-et-al-2025-piezodynamic-therapy-unleashing-mechanical-energy-and-featuristic-next-generation-therapeutic.pdf,nanocrystal,CuS,CuS,nanocrystal,,,,,glioma,glioma,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intracerebral, intradermal",intravenous,18.375,3.0,0.9708571428571428,1.3571428571428572,22.0,,46080462.0,,,,no,no,yes,yes,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Multi-dimensional donor engineering of NIR-II AIEgens for multimodal  phototheranostics of orthotopic breast cancer.pdf,"nanoparticle, nanocrystal",,,nanoparticle,1500.0,1500.0,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,12.142857142857142,,,,,,yes,no,yes,no,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Dual-Responsive and ROS-Augmented Nanoplatform for Chemo Photodynamic Chemodynamic Combination Therapy of Triple Negative Breast Cancer.pdf,,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,2.0,,,1.1333333333333333,6.5,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Nanoparticles destabilizing the cell membranes triggered by NIR light for cancer imaging and photo-immunotherapy.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,300.0,,11.857142857142858,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Platelet Membrane-Coated Drug-Loaded Nanoparticles for Dual Modal Imaging and Photodynamic Therapy in Triple-Negative Breast Cancer.pdf,"nanoparticle, nanocrystal",PtS,PtS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,1.0,12.454545454545457,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Sono-Controllable and ROS-Sensitive CRISPR-Cas9 Genome Editing for Augmented Synergistic Ultrasound Tumor Nanotherapy.pdf,"nanoparticle, nanocrystal","CuO, AuS, RuS",CuO,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,5.0,1.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Hydrothermal Galvanic-ReplacementTethered Synthesis of Ir−Ag−IrO2 Nanoplates for Computed Tomography-Guided Multiwavelength Potent Thermodynamic Cancer Therapy.pdf,"nanoparticle, nanosheet, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,3.0,16.833333333333332,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Diradicaloid-Loaded Polypeptide Nanoparticles for Two-Photon NIR Phototheranostics.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,2.75,,665784749.5555556,,20.045454545454547,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Glucosylated Hybrid TiO 2 Polymer Nanomaterials forActively Targeted Sonodynamic Therapy of Cancer.pdf,"nanoparticle, nanocrystal","TiO2, AlN",TiO2,nanoparticle,,,,,sarcoma,sarcoma,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,13.897435897435898,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
"Ultrasound-Responsive Nanobubbles for Breast Cancer: Synergistic Sonodynamic, Chemotherapy, and Immune Activation through the cGAS-STING Pathway.pdf",nanocrystal,"AuS, PtS",AuS,nanocrystal,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,5.0,2.0,1.0,1.5,8.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Novel Oxygen-Deficient Zirconia (ZrO2−x) for Fluorescence Photoacoustic Imaging-Guided Photothermal Photodynamic Therapy for Cancer.pdf,"nanoparticle, nanocrystal",ZrO2,ZrO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,205697066.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
The Midas Touch by Iridium: A Second Near-Infrared Aggregation Induced Emission-Active Metallo-Agent for Exceptional Phototheranostics of Breast Cancer.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,,7.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Enhancing Photodynamic Therapy Efficacy via Photo-Triggered Calcium Overload and Oxygen Delivery in Tumor Hypoxia Management.pdf,"nanosphere, nanocrystal",,,nanosphere,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,5.0,2.0,,0.75,12.5,10.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
An Oxidation-Enhanced Magnetic Resonance ImagingProbe for Visual and Speciﬁc Detection of Singlet OxygenGenerated in Photodynamic Cancer Therapy In Vivo.pdf,"nanoparticle, nanocrystal",Fe3O4,Fe3O4,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,6.227272727272728,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Ultrathin Clay Nanoparticles-Mediated Mutual Reinforcement of Ferroptosis and Cancer Immunotherapy.pdf,"nanosheet, nanocrystal",AlN,AlN,nanosheet,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,,,,,,no,no,no,no,no,no,0,Skipped: Model failed,,,,,,,,,,,,,,,,,
One-for-all phototheranostics: Single component AIE dots as multi-modality theranostic agent for fluorescence-photoacoustic imaging-guided synergistic cancer therapy.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,0.3,7.944444444444445,,4.0,,,,no,no,yes,yes,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Oxi-Redox Selective Breast Cancer Treatment: An In Vitro Study of Theranostic In-Based Oxide Nanoparticles for Controlled Generation or Prevention of Oxidative Stress.pdf,nanoparticle,,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,25.0,2.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Versatile metal-phenolic network nanoparticles for multitargeted combination therapy and magnetic resonance tracing in glioblastoma.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,glioma,glioma,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intracerebral, intradermal",intravenous,2.776,5.0,,0.5,19.285714285714285,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Genetically Engineering Cell Membrane-Coated BTO Nanoparticles for MMP2-Activated Piezocatalysis-Immunotherapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,16.818181818181817,2.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Biodegradable Multifunctional Nanotheranostic Based on Ag2S‑Doped Hollow BSA-SiO2 for Enhancing ROS-Feedback Synergistic Antitumor Therapy.pdf,"nanoparticle, nanocrystal","SiO2, Ag2S",SiO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,12.444444444444445,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
"Highly selective in-vivo imaging of tumor as an inflammation site by ROS detection using hydrocyanine-conjugated, functional nano-carriers.pdf",,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,5.0,,,,20.2,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Sub 5 nm Gd3+–Hemoporfin Framework Nanodots for Augmented Sonodynamic Theranostics and Fast Renal Clearance.pdf,"nanoparticle, nanocrystal",RuS,RuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,7.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Iron-based nanoparticles for MR imaging-guide ferroptosis in combination with photodynamic therapy to enhance cancer treatment.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,,14.894736842105264,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Low-intensity focused ultrasound-augmented Cascade chemodynamic therapy via boosting ROS generation.pdf,nanocrystal,"Fe3O4, Fe2O3, CuS",Fe3O4,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,53.165,,15.0,1.025,11.3,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Hetero-Core–Shell BiNS–Fe@Fe as a Potential Theranostic Nanoplatform for Multimodal Imaging-Guided Simultaneous Photothermal–Photodynamic and Chemodynamic Treatment.pdf,,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,33.0,2.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
"Ultrasound-activated nanovesicles for adenosine exhaustion and immune 
checkpoint blockade in cancer immunotherapy.pdf",nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,7.0,2.0,1.0,2.0,7.783783783783784,1.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Palladium-Catalyzed Hydrogenation of Black Barium Titanate for Multienzyme-Piezoelectric Synergetic Tumor Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,3.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Targeted GSH-exhausting and Hydroxyl Radicals Self-producing Manganese Silica Nanomissiles for MRI Guided Ferroptotic Cancer Therapy.pdf,"nanoparticle, nanocrystal","SiO2, AuS",SiO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,7.166666666666667,676.0,,,18.3125,392.5,525.0,,,,no,no,yes,yes,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Integration of Fe3O4 with Bi2S3 for Multi-Modality Tumor Theranostics.pdf,"nanoparticle, nanocrystal",Fe3O4,Fe3O4,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,0.8666666666666667,9.61111111111111,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Cavitation-Inducible Mesoporous Silica–TitaniaNanoparticles for Cancer Sonotheranostics.pdf,"nanoparticle, nanocrystal","TiO2, SiO2, CuS, AuS",TiO2,nanoparticle,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,12.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Ultrasound-Enhanced Reactive Oxygen Species Responsive Charge-Reversal Polymeric Nanocarriers for Efficient Pancreatic Cancer Gene Delivery.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,pancreatic_cancer,pancreatic_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,3.0,3.0,1.5,0.2,11.142857142857142,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Photosynthetic Oxygenation-Augmented SonodynamicNanotherapy of Hypoxic Tumors.pdf,nanocrystal,"CuS, RuS",CuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,16.075,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
An Oxidative Stress Nano-Ampliﬁer for Improved TumorElimination and Combined Immunotherapy.pdf,"nanoparticle, nanocrystal","CuS, AuS, AlN",CuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,15.77777777777778,196.66666666666663,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
A Coupling Induced Assembly Strategy for Constructing Artificial Shell on Mitochondria.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,4.0,,1.0,,5.0,2.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
"A Protein−Polymer Bioconjugate-Coated Upconversion Nanosystem for Simultaneous Tumor Cell Imaging, Photodynamic Therapy, and Chemotherapy.pdf","nanoparticle, nanocrystal",,,nanoparticle,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,11.125,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Honeycomb-Satellite Structured pH H2O2‑Responsive Degradable Nanoplatform for Efficient Photodynamic Therapy and Multimodal Imaging.pdf,"nanoparticle, nanosphere, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,0.5,25.294117647058822,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
